# GOES-R ABI FM4 SRF ch 047 CWG release
# wvl [micron],  wavenum [cm-1],  relative SRF
  0.4420670       22621.0      0.00099800
  0.4420870       22620.0      0.00101800
  0.4421060       22619.0      0.00103900
  0.4421260       22618.0      0.00106100
  0.4421450       22617.0      0.00108300
  0.4421650       22616.0      0.00110600
  0.4421840       22615.0      0.00112900
  0.4422040       22614.0      0.00115200
  0.4422230       22613.0      0.00117600
  0.4422430       22612.0      0.00120000
  0.4422630       22611.0      0.00122500
  0.4422820       22610.0      0.00125000
  0.4423020       22609.0      0.00127600
  0.4423210       22608.0      0.00130200
  0.4423410       22607.0      0.00132900
  0.4423600       22606.0      0.00135600
  0.4423800       22605.0      0.00138300
  0.4424000       22604.0      0.00141100
  0.4424190       22603.0      0.00143900
  0.4424390       22602.0      0.00146800
  0.4424580       22601.0      0.00149700
  0.4424780       22600.0      0.00152700
  0.4424970       22599.0      0.00155700
  0.4425170       22598.0      0.00158700
  0.4425370       22597.0      0.00161800
  0.4425560       22596.0      0.00164900
  0.4425760       22595.0      0.00168100
  0.4425950       22594.0      0.00171300
  0.4426150       22593.0      0.00174500
  0.4426350       22592.0      0.00177800
  0.4426540       22591.0      0.00181100
  0.4426740       22590.0      0.00184500
  0.4426930       22589.0      0.00187900
  0.4427130       22588.0      0.00191400
  0.4427330       22587.0      0.00194900
  0.4427520       22586.0      0.00198600
  0.4427720       22585.0      0.00202400
  0.4427910       22584.0      0.00206400
  0.4428110       22583.0      0.00210400
  0.4428310       22582.0      0.00214600
  0.4428500       22581.0      0.00218900
  0.4428700       22580.0      0.00223300
  0.4428890       22579.0      0.00227900
  0.4429090       22578.0      0.00232500
  0.4429290       22577.0      0.00237300
  0.4429480       22576.0      0.00242200
  0.4429680       22575.0      0.00247200
  0.4429880       22574.0      0.00252400
  0.4430070       22573.0      0.00257600
  0.4430270       22572.0      0.00263000
  0.4430460       22571.0      0.00268500
  0.4430660       22570.0      0.00274200
  0.4430860       22569.0      0.00279900
  0.4431050       22568.0      0.00285800
  0.4431250       22567.0      0.00291800
  0.4431450       22566.0      0.00297900
  0.4431640       22565.0      0.00304200
  0.4431840       22564.0      0.00310500
  0.4432030       22563.0      0.00317000
  0.4432230       22562.0      0.00323600
  0.4432430       22561.0      0.00330300
  0.4432620       22560.0      0.00337100
  0.4432820       22559.0      0.00344100
  0.4433020       22558.0      0.00351100
  0.4433210       22557.0      0.00358200
  0.4433410       22556.0      0.00365500
  0.4433610       22555.0      0.00372800
  0.4433800       22554.0      0.00380300
  0.4434000       22553.0      0.00387900
  0.4434200       22552.0      0.00395500
  0.4434390       22551.0      0.00403300
  0.4434590       22550.0      0.00411100
  0.4434790       22549.0      0.00419100
  0.4434980       22548.0      0.00427100
  0.4435180       22547.0      0.00435300
  0.4435380       22546.0      0.00443500
  0.4435570       22545.0      0.00451800
  0.4435770       22544.0      0.00460300
  0.4435970       22543.0      0.00468800
  0.4436160       22542.0      0.00477300
  0.4436360       22541.0      0.00486000
  0.4436560       22540.0      0.00494800
  0.4436750       22539.0      0.00503600
  0.4436950       22538.0      0.00512500
  0.4437150       22537.0      0.00521600
  0.4437340       22536.0      0.00530800
  0.4437540       22535.0      0.00540300
  0.4437740       22534.0      0.00550000
  0.4437940       22533.0      0.00560000
  0.4438130       22532.0      0.00570200
  0.4438330       22531.0      0.00580600
  0.4438530       22530.0      0.00591400
  0.4438720       22529.0      0.00602400
  0.4438920       22528.0      0.00613700
  0.4439120       22527.0      0.00625300
  0.4439310       22526.0      0.00637200
  0.4439510       22525.0      0.00649500
  0.4439710       22524.0      0.00662100
  0.4439910       22523.0      0.00675000
  0.4440100       22522.0      0.00688300
  0.4440300       22521.0      0.00701800
  0.4440500       22520.0      0.00715600
  0.4440690       22519.0      0.00729600
  0.4440890       22518.0      0.00743800
  0.4441090       22517.0      0.00758300
  0.4441290       22516.0      0.00773000
  0.4441480       22515.0      0.00788000
  0.4441680       22514.0      0.00803200
  0.4441880       22513.0      0.00818700
  0.4442080       22512.0      0.00834500
  0.4442270       22511.0      0.00850500
  0.4442470       22510.0      0.00866800
  0.4442670       22509.0      0.00883300
  0.4442860       22508.0      0.00900100
  0.4443060       22507.0      0.00917200
  0.4443260       22506.0      0.00934500
  0.4443460       22505.0      0.00952200
  0.4443650       22504.0      0.00970100
  0.4443850       22503.0      0.00988300
  0.4444050       22502.0      0.01006800
  0.4444250       22501.0      0.01025600
  0.4444440       22500.0      0.01044600
  0.4444640       22499.0      0.01064000
  0.4444840       22498.0      0.01083600
  0.4445040       22497.0      0.01103600
  0.4445230       22496.0      0.01123800
  0.4445430       22495.0      0.01144400
  0.4445630       22494.0      0.01165200
  0.4445830       22493.0      0.01186400
  0.4446030       22492.0      0.01207900
  0.4446220       22491.0      0.01229700
  0.4446420       22490.0      0.01251800
  0.4446620       22489.0      0.01274300
  0.4446820       22488.0      0.01297000
  0.4447010       22487.0      0.01320100
  0.4447210       22486.0      0.01343500
  0.4447410       22485.0      0.01367300
  0.4447610       22484.0      0.01391400
  0.4447810       22483.0      0.01415800
  0.4448000       22482.0      0.01440500
  0.4448200       22481.0      0.01466200
  0.4448400       22480.0      0.01493200
  0.4448600       22479.0      0.01521600
  0.4448790       22478.0      0.01551300
  0.4448990       22477.0      0.01582500
  0.4449190       22476.0      0.01615000
  0.4449390       22475.0      0.01649000
  0.4449590       22474.0      0.01684300
  0.4449780       22473.0      0.01721100
  0.4449980       22472.0      0.01759200
  0.4450180       22471.0      0.01798700
  0.4450380       22470.0      0.01839500
  0.4450580       22469.0      0.01881500
  0.4450770       22468.0      0.01924700
  0.4450970       22467.0      0.01969000
  0.4451170       22466.0      0.02014500
  0.4451370       22465.0      0.02061200
  0.4451570       22464.0      0.02108900
  0.4451770       22463.0      0.02157700
  0.4451960       22462.0      0.02207600
  0.4452160       22461.0      0.02258400
  0.4452360       22460.0      0.02310300
  0.4452560       22459.0      0.02363200
  0.4452760       22458.0      0.02417000
  0.4452950       22457.0      0.02471700
