# wavelength_um n_real n_imag_positive
0.4 1.3194 2.365e-11
0.41 1.3185 2.669e-11
0.42 1.3177 3.135e-11
0.43 1.317 4.14e-11
0.44 1.3163 6.268e-11
0.45 1.3157 9.239e-11
0.46 1.3151 1.325e-10
0.47 1.3145 1.956e-10
0.48 1.314 2.861e-10
0.49 1.3135 4.172e-10
0.5 1.313 5.889e-10
0.51 1.3126 8.036e-10
0.52 1.3121 1.076e-09
0.53 1.3117 1.409e-09
0.54 1.3114 1.813e-09
0.55 1.311 2.289e-09
0.56 1.3106 2.839e-09
0.57 1.3103 3.461e-09
0.58 1.31 4.159e-09
0.59 1.3097 4.93e-09
0.6 1.3094 5.73e-09
0.61 1.3091 6.89e-09
0.62 1.3088 8.58e-09
0.63 1.3085 1.04e-08
0.64 1.3083 1.22e-08
0.65 1.308 1.43e-08
0.66 1.3078 1.66e-08
0.67 1.3076 1.89e-08
0.68 1.3073 2.09e-08
0.69 1.3071 2.4e-08
0.7 1.3069 2.9e-08
0.71 1.3067 3.44e-08
0.72 1.3065 4.03e-08
0.73 1.3062 4.3e-08
0.74 1.306 4.92e-08
0.75 1.3059 5.87e-08
0.76 1.3057 7.08e-08
0.77 1.3055 8.58e-08
0.78 1.3053 1.02e-07
0.79 1.3051 1.18e-07
0.8 1.3049 1.34e-07
0.81 1.3047 1.4e-07
0.82 1.3046 1.43e-07
0.83 1.3044 1.45e-07
0.84 1.3042 1.51e-07
0.85 1.304 1.83e-07
0.86 1.3039 2.15e-07
0.87 1.3037 2.65e-07
0.88 1.3035 3.35e-07
0.89 1.3033 3.92e-07
0.9 1.3032 4.2e-07
0.91 1.303 4.44e-07
0.92 1.3028 4.74e-07
0.93 1.3027 5.11e-07
0.94 1.3025 5.53e-07
0.95 1.3023 6.02e-07
0.96 1.3022 7.55e-07
0.97 1.302 9.26e-07
0.98 1.3019 1.12e-06
0.99 1.3017 1.33e-06
1 1.3015 1.62e-06
