# wavelength_um n_real n_imag_positive
0.39994 1.349793 1.5805e-09
0.40458 1.349159 1.4886e-09
0.4102 1.348417 1.4216e-09
0.41495 1.347811 1.339e-09
0.41976 1.347219 1.2583e-09
0.42462 1.346636 1.1689e-09
0.42954 1.346066 1.0884e-09
0.43451 1.345505 1.0181e-09
0.43954 1.344956 9.3927e-10
0.44463 1.344418 8.6854e-10
0.44978 1.343889 8.0871e-10
0.45499 1.343368 7.7945e-10
0.46026 1.342858 7.5996e-10
0.46452 1.342455 7.4953e-10
0.46989 1.341961 7.2911e-10
0.47534 1.341475 7.0112e-10
0.47973 1.341093 7.0923e-10
0.48529 1.34062 7.158e-10
0.48978 1.340248 7.3416e-10
0.49545 1.339791 7.8486e-10
0.50003 1.33943 9.2425e-10
0.50466 1.339073 1.0784e-09
0.5105 1.338635 1.267e-09
0.51523 1.338288 1.4615e-09
0.52 1.337944 1.5696e-09
0.52481 1.337607 1.6398e-09
0.52966 1.337273 1.7571e-09
0.53456 1.336943 1.8871e-09
0.53951 1.336615 2.0979e-09
0.5445 1.336292 2.2688e-09
0.54954 1.335972 2.4423e-09
0.55463 1.335656 2.6594e-09
0.55976 1.335344 2.8694e-09
0.56494 1.335035 3.1318e-09
0.57016 1.334729 3.4339e-09
0.57544 1.334425 3.8441e-09
0.57943 1.3342 4.4339e-09
0.58479 1.333902 5.2214e-09
0.5902 1.333609 6.3649e-09
0.59566 1.333316 7.7231e-09
0.59979 1.3331 9.6336e-09
0.60534 1.332813 1.1319e-08
0.60954 1.332598 1.2382e-08
0.61518 1.332317 1.3298e-08
0.61944 1.332106 1.3989e-08
0.62517 1.331826 1.4716e-08
0.62951 1.331619 1.5024e-08
0.63533 1.331345 1.5516e-08
0.63973 1.331144 1.5696e-08
0.64565 1.330877 1.6062e-08
0.65013 1.330683 1.6741e-08
0.65464 1.33049 1.7774e-08
0.66069 1.330238 1.9399e-08
0.66527 1.330052 2.0314e-08
0.66988 1.329869 2.0979e-08
0.67453 1.32969 2.1767e-08
0.68077 1.329452 2.3003e-08
0.68549 1.329278 2.4705e-08
0.69024 1.329106 2.6533e-08
0.69502 1.328938 2.9634e-08
0.69984 1.328769 3.348e-08
0.70469 1.328603 4.1001e-08
0.70958 1.32844 4.9979e-08
0.7145 1.328279 5.995e-08
0.71945 1.32812 7.2911e-08
0.72444 1.327963 9.1367e-08
0.72946 1.327808 1.1502e-07
0.73451 1.327652 1.3483e-07
0.73961 1.327502 1.4581e-07
0.74473 1.32735 1.5303e-07
0.74989 1.327201 1.5588e-07
0.75509 1.327055 1.5805e-07
0.76033 1.326909 1.5805e-07
0.7656 1.326764 1.5696e-07
0.76913 1.326667 1.5268e-07
0.77446 1.326524 1.4784e-07
0.77983 1.326382 1.4086e-07
0.78524 1.326244 1.339e-07
0.79068 1.326104 1.2817e-07
0.79433 1.326012 1.2583e-07
0.79983 1.325874 1.2497e-07
0.80538 1.325739 1.27e-07
0.8091 1.325648 1.3298e-07
0.8147 1.325512 1.4481e-07
0.82035 1.325379 1.621e-07
0.82414 1.32529 1.8188e-07
0.82985 1.325157 2.0408e-07
0.8356 1.325025 2.2428e-07
0.83946 1.324937 2.4592e-07
0.84528 1.324805 2.6902e-07
0.84918 1.324718 2.9295e-07
0.85507 1.32459 3.1535e-07
0.85901 1.324502 3.348e-07
0.86497 1.324373 3.5464e-07
0.87096 1.324244 3.7479e-07
0.87498 1.324159 3.9065e-07
0.87902 1.324074 4.0531e-07
0.88512 1.323946 4.2344e-07
0.8892 1.323859 4.4034e-07
0.89536 1.323732 4.6216e-07
0.8995 1.323648 4.8617e-07
0.90573 1.32352 5.1498e-07
0.90991 1.323434 5.6989e-07
0.91411 1.323351 6.6956e-07
0.92045 1.323222 8.3041e-07
0.9247 1.323138 1.0597e-06
0.92897 1.323054 1.3683e-06
0.93541 1.322926 1.7709e-06
0.93972 1.322842 2.1692e-06
0.94406 1.322757 2.5573e-06
0.9506 1.32263 2.9322e-06
0.95499 1.322546 3.19e-06
0.9594 1.322462 3.3581e-06
0.96605 1.322333 3.4641e-06
0.97051 1.322249 3.5018e-06
0.97499 1.322165 3.4801e-06
0.97949 1.32208 3.4181e-06
0.98401 1.321994 3.3365e-06
0.99083 1.321866 3.253e-06
0.99541 1.32178 3.1311e-06
1 1.321695 2.9998e-06
