case,canonical_physics_sha256
ccf_v1_0001,e48e9618d53aabbf37164ff47ff28fb88d64fd819f8225e3efe1370dc6334ec1
ccf_v1_0002,a869d4ff9e9a38fa6537b339ac7cc453c8c23ffc74d3304153dbc802d846cf63
ccf_v1_0003,99cf6a667b55f34be23b6c925753d5f15a6667c74f47e8b5e3f63e0b3bb7b37c
ccf_v1_0004,9c211f44b2c87ec535efcc48034ed82cf30562ce9481faf62e981e93b36b6d57
ccf_v1_0005,f0119930d53334e4f8d3c4ccd44df6b22351b25451bab1dc464141a6aa76d37e
ccf_v1_0006,9844d58f05716476def2577eff40e049cf227d15d50286cb54db149d2a257ff7
ccf_v1_0007,2ad8835739c9772e3413446d0096f06f71f0e5317bb283ce78f539b44db65942
ccf_v1_0008,d72a86b0de4b0551b8e8f64e30613e01f9612b32a0774f01bcaf24ad924206aa
ccf_v1_0009,a1658281c294fc8a90b998cb459aadd0c7308f903fb1163b839b53720c2bc53a
ccf_v1_0010,8ea4dad5df6a5e78e1d270fff2152eb327585963b664d21eeabd0f740dea381a
ccf_v1_0011,496c1811fdec3819d8719a421efce2d7abc337edb434815b4cf933a64b5bbd6e
ccf_v1_0012,376c3a627e097f005a6995487a1d7c0a99da582ca5c1caa0b80d5d42434fbde5
ccf_v1_0013,728e78012898e06518a4e1c1b35c7682f0d41bbdce9c73cc6bfe377886e8a8d6
ccf_v1_0014,c6958bcada46b66711c105a28674ba9f33387e82960fb626644597b15658e72f
ccf_v1_0015,2caf19ebff612d37eb3d02323024b950e3a473642de2c5d5cb2e796eb2015414
ccf_v1_0016,942540a063f61c07348828b0ab32fd748171a75dd61173fbcebbe2bca776c361
ccf_v1_0017,0d121810a4b3ca12164c5f2dae597fac8a2a0107ad75cfe6b6d62949c2538f06
ccf_v1_0018,ed6b09e3b58186fb551f254891427bb3af9f26235fc90012d6c0df9cf712928c
ccf_v1_0019,e1c0b04c279420d75f95471e0d886480df3c4bc85c170e14da5512e2aa3362d2
ccf_v1_0020,01638101cd2f5f7730cf336e9643515fe0bce70ea513c87e37873c72aecaa2f2
ccf_v1_0021,a746337dd97102e1c943a00c5b26075cabefa1c0c8d6ac1b0bd5e8fd28eb648c
ccf_v1_0022,5982615af4195c6326e7f499eca6233a138728a29385d68d86d322179a2365f4
ccf_v1_0023,9f900007edee54e48365ec0155bc547b7ab6cd618bcfa10172f093fcff9ac9aa
ccf_v1_0024,e5f5e9dec3f3054e1f9bfbfc3741ddab2450a898ee43b25724999430f4c81114
ccf_v1_0025,48033999c49e27c0e476354f27b9a4f49186aa092429e496ff5e83dcfb7d46d2
ccf_v1_0026,57c53106a1cbe2d661bf20d11a1593bb5284b8d65c0b373f4aed619e3dfb9d1e
ccf_v1_0027,c1db3e1c39eb82940e42f8c5e83a55a9244303fca4f51c21b868db3cd7e226da
ccf_v1_0028,0300534d8c5b82fe41d548563fd5823f3294512ae3d90ab1918bca7952313b7e
ccf_v1_0029,9cd034f5b502d82bb19419abd59d0a7eb3adfad03f07b2db9c5081c85911fe3c
ccf_v1_0030,ee84ecf7d921f9bfa009270ebb34b510570856398b02911528c5097b0a3e951c
ccf_v1_0031,9ca37b05d55f9d5b12c26914c2bbd192be937e6f5597e3c64684cf8ba1bab6a4
ccf_v1_0032,806153f0caa0ff25d9c2ad353f6188c302fbd12cac94a3bc5a4e9d518f6dbdec
ccf_v1_0033,f379c6d47c77710dc3e5c04893d3f3ebdc6ba7e19d928b1718176290af44cc25
ccf_v1_0034,0bb59ba6ef1713215936df5da4983107788b6021aeda341f9d60d691fe6938ef
ccf_v1_0035,1cf60ddaabf7ac0f8c42f3482d121c1af58095451f0fb7814c47911bad25f900
ccf_v1_0036,96223ecdd38726c049a58fecde5e4d05999e1268c55319ec8a7050fdaeb331b3
ccf_v1_0037,6a5c70f932ed229cffc3e3c817f3b536830a13b0eda732614bff25c43c707198
ccf_v1_0038,330625816872962ca171c820ffeff2b69cf3fae2da13bd2d2d8514aefb2be472
ccf_v1_0039,dd4f88387452a99aca2790693f421d7b12b0305d78765298f1a8e63dc3e54635
ccf_v1_0040,c61588362f32b127e818874d58b35127655efa3d6f67193b3a0a6513240b1be1
ccf_v1_0041,d6cd7944911db31783677fff184bfe3a736f2deff361b13813884d175a153f6c
ccf_v1_0042,75c430b0bfec10d8814436b30651ead0a14886af8bed0b4650b8856ade387808
ccf_v1_0043,a5d9b035760c1eb91ce9bbbc8c14505b6a3d32398cc0bc8a59c8d8ccfe7ad475
ccf_v1_0044,ddc33333e640a3313ec3db961fab68aefbdd8831c6e22548f7109e821d06517e
ccf_v1_0045,ead45c0f76bb3b310bf1d1d56f7b97e8361f17f93c970eaf6032a7803ceb654e
ccf_v1_0046,0d5bc163456b45adef63f247de0968b35025febb670da8063b504a69c9d47377
