case,split,tau,ssa,hg_g,sun_zenith_deg,view_zenith_deg,relative_azimuth_deg,surface_albedo_for_delta_join,delta_exact_row_available,samples,seed,max_scatters,batch_samples,target_ci95_halfwidth_brf
ccf_v1_0001,calibration,0,0.999,0.66500000000000004,30,0,0,0,true,262144,5999168895323013141,32,65536,0.0050000000000000001
ccf_v1_0002,calibration,0,0.999,0.66500000000000004,30,40,0,0,true,262144,5999168895323013141,32,65536,0.0050000000000000001
ccf_v1_0003,angular-holdout,0,0.999,0.66500000000000004,30,40,90,0,true,262144,5999168895323013141,32,65536,0.0050000000000000001
ccf_v1_0004,calibration,0,0.999,0.66500000000000004,30,40,180,0,true,262144,5999168895323013141,32,65536,0.0050000000000000001
ccf_v1_0005,calibration,0,0.999,0.66500000000000004,30,65,0,0,true,262144,5999168895323013141,32,65536,0.0050000000000000001
ccf_v1_0006,calibration,0,0.999,0.66500000000000004,30,65,90,0,true,262144,5999168895323013141,32,65536,0.0050000000000000001
ccf_v1_0007,calibration,0,0.999,0.66500000000000004,30,65,180,0,true,262144,5999168895323013141,32,65536,0.0050000000000000001
ccf_v1_0008,angular-holdout,0,0.999,0.66500000000000004,50,0,0,0,true,262144,5999168895323013141,32,65536,0.0050000000000000001
ccf_v1_0009,angular-holdout,0,0.999,0.66500000000000004,50,40,0,0,true,262144,5999168895323013141,32,65536,0.0050000000000000001
ccf_v1_0010,angular-holdout,0,0.999,0.66500000000000004,50,40,90,0,true,262144,5999168895323013141,32,65536,0.0050000000000000001
ccf_v1_0011,angular-holdout,0,0.999,0.66500000000000004,50,40,180,0,true,262144,5999168895323013141,32,65536,0.0050000000000000001
ccf_v1_0012,angular-holdout,0,0.999,0.66500000000000004,50,65,0,0,true,262144,5999168895323013141,32,65536,0.0050000000000000001
ccf_v1_0013,angular-holdout,0,0.999,0.66500000000000004,50,65,90,0,true,262144,5999168895323013141,32,65536,0.0050000000000000001
ccf_v1_0014,angular-holdout,0,0.999,0.66500000000000004,50,65,180,0,true,262144,5999168895323013141,32,65536,0.0050000000000000001
ccf_v1_0015,calibration,0,0.999,0.66500000000000004,65,0,0,0,true,262144,5999168895323013141,32,65536,0.0050000000000000001
ccf_v1_0016,calibration,0,0.999,0.66500000000000004,65,40,0,0,true,262144,5999168895323013141,32,65536,0.0050000000000000001
ccf_v1_0017,angular-holdout,0,0.999,0.66500000000000004,65,40,90,0,true,262144,5999168895323013141,32,65536,0.0050000000000000001
ccf_v1_0018,calibration,0,0.999,0.66500000000000004,65,40,180,0,true,262144,5999168895323013141,32,65536,0.0050000000000000001
ccf_v1_0019,calibration,0,0.999,0.66500000000000004,65,65,0,0,true,262144,5999168895323013141,32,65536,0.0050000000000000001
ccf_v1_0020,calibration,0,0.999,0.66500000000000004,65,65,90,0,true,262144,5999168895323013141,32,65536,0.0050000000000000001
ccf_v1_0021,calibration,0,0.999,0.66500000000000004,65,65,180,0,true,262144,5999168895323013141,32,65536,0.0050000000000000001
ccf_v1_0022,calibration,0,0.999,0.75,30,0,0,0,true,262144,5999168895323013141,32,65536,0.0050000000000000001
ccf_v1_0023,calibration,0,0.999,0.75,30,40,0,0,true,262144,5999168895323013141,32,65536,0.0050000000000000001
ccf_v1_0024,angular-holdout,0,0.999,0.75,30,40,90,0,true,262144,5999168895323013141,32,65536,0.0050000000000000001
ccf_v1_0025,calibration,0,0.999,0.75,30,40,180,0,true,262144,5999168895323013141,32,65536,0.0050000000000000001
ccf_v1_0026,calibration,0,0.999,0.75,30,65,0,0,true,262144,5999168895323013141,32,65536,0.0050000000000000001
ccf_v1_0027,calibration,0,0.999,0.75,30,65,90,0,true,262144,5999168895323013141,32,65536,0.0050000000000000001
ccf_v1_0028,calibration,0,0.999,0.75,30,65,180,0,true,262144,5999168895323013141,32,65536,0.0050000000000000001
ccf_v1_0029,angular-holdout,0,0.999,0.75,50,0,0,0,true,262144,5999168895323013141,32,65536,0.0050000000000000001
ccf_v1_0030,angular-holdout,0,0.999,0.75,50,40,0,0,true,262144,5999168895323013141,32,65536,0.0050000000000000001
ccf_v1_0031,angular-holdout,0,0.999,0.75,50,40,90,0,true,262144,5999168895323013141,32,65536,0.0050000000000000001
ccf_v1_0032,angular-holdout,0,0.999,0.75,50,40,180,0,true,262144,5999168895323013141,32,65536,0.0050000000000000001
ccf_v1_0033,angular-holdout,0,0.999,0.75,50,65,0,0,true,262144,5999168895323013141,32,65536,0.0050000000000000001
ccf_v1_0034,angular-holdout,0,0.999,0.75,50,65,90,0,true,262144,5999168895323013141,32,65536,0.0050000000000000001
ccf_v1_0035,angular-holdout,0,0.999,0.75,50,65,180,0,true,262144,5999168895323013141,32,65536,0.0050000000000000001
ccf_v1_0036,calibration,0,0.999,0.75,65,0,0,0,true,262144,5999168895323013141,32,65536,0.0050000000000000001
ccf_v1_0037,calibration,0,0.999,0.75,65,40,0,0,true,262144,5999168895323013141,32,65536,0.0050000000000000001
ccf_v1_0038,angular-holdout,0,0.999,0.75,65,40,90,0,true,262144,5999168895323013141,32,65536,0.0050000000000000001
