case,backend,device,tau,ssa,hg_g,sun_zenith_deg,view_zenith_deg,relative_azimuth_deg,samples,seed,max_scatters,batch_samples,batches,mean_i_over_f0,sample_variance_i_over_f0,standard_error_i_over_f0,brf,standard_error_brf,ci95_low_brf,ci95_high_brf,truncated_paths,truncated_fraction,elapsed_ms,kernel_ms,max_batch_ms
"clear_tau_0",gpu,"NVIDIA GeForce RTX 5090 (sm_120)",0,0.999,0.84999999999999998,30,0,0,1048576,5999168895323013141,32,65536,16,0,0,0,0,0,0,0,0,0,2.2866,0.7065280033275485,0.23571200668811798
"hrrr_like_wispy_tail_probe_tau_0p15",gpu,"NVIDIA GeForce RTX 5090 (sm_120)",0.14999999999999999,0.999,0.84999999999999998,30,0,0,1048576,5999168895323013141,64,65536,16,0.0006513888602677117,0.00010224229182407924,9.8745049376228018e-06,0.0023629774012456544,3.5820741555975763e-05,0.0022927687477959421,0.0024331860546953667,0,0,3.0806,1.7717439904808998,0.18559999763965607
"thin_liquid_tau_0p5",gpu,"NVIDIA GeForce RTX 5090 (sm_120)",0.5,0.999,0.84999999999999998,30,0,0,1048576,5999168895323013141,96,65536,16,0.0026300040418145241,0.001224050219771757,3.4166434648463838e-05,0.0095405993179532127,0.00012394211488706732,0.0092976727727745612,0.0097835258631318641,0,0,4.6513999999999998,3.2088319808244705,0.44659200310707092
"nssl_like_liquid_edge_probe_tau_2",gpu,"NVIDIA GeForce RTX 5090 (sm_120)",2,0.999,0.84999999999999998,30,0,0,1048576,5999168895323013141,192,65536,16,0.016578295354028199,0.01772569454914855,0.00013001745895065492,0.060139403146446863,0.00047165116876809278,0.059214966855661404,0.061063839437232321,0,0,10.9216,8.5730559825897217,0.71487998962402344
"liquid_mid_tau_8",gpu,"NVIDIA GeForce RTX 5090 (sm_120)",8,0.999,0.84999999999999998,30,0,0,1048576,5999168895323013141,384,65536,16,0.09335813185674284,0.13320377798632654,0.00035641692147517332,0.33866584041570885,0.0012929375711479727,0.33613168277625882,0.34119999805515888,0,0,33.521799999999999,31.273855686187744,2.5008959770202637
"thick_liquid_tau_25",gpu,"NVIDIA GeForce RTX 5090 (sm_120)",25,0.999,0.84999999999999998,30,0,0,1048576,5999168895323013141,512,65536,16,0.186443912861499,0.25903533408775808,0.00049702650347965079,0.67634370122705356,0.0018030127120378936,0.67280979631145932,0.67987760614264781,56,5.340576171875e-05,128.26570000000001,125.05030393600464,8.3948478698730469
"thin_ice_proxy_tau_0p3",gpu,"NVIDIA GeForce RTX 5090 (sm_120)",0.29999999999999999,0.999,0.75,30,0,0,1048576,5999168895323013141,96,65536,16,0.0028972766762018526,0.00040174343161370553,1.9573767969272082e-05,0.010510157186611096,7.1005775796667591e-05,0.010370985866049627,0.010649328507172564,0,0,3.4685999999999999,1.9955199733376503,0.15862399339675903
"nssl_like_ice_anvil_probe_tau_1",gpu,"NVIDIA GeForce RTX 5090 (sm_120)",1,0.999,0.75,30,0,0,1048576,5999168895323013141,160,65536,16,0.013743349281463408,0.004718383819301058,6.7080559504332162e-05,0.049855356378334242,0.00024334135236286656,0.049378407327703024,0.050332305428965461,0,0,5.8863000000000003,4.6636159867048264,0.46131199598312378
"ice_anvil_proxy_tau_3",gpu,"NVIDIA GeForce RTX 5090 (sm_120)",3,0.999,0.75,30,0,0,1048576,5999168895323013141,256,65536,16,0.057529309223484711,0.030883507651296993,0.00017161820430122747,0.20869324898878056,0.00062256197970516898,0.20747302750855842,0.20991347046900269,0,0,12.971299999999999,11.395743906497955,0.77696001529693604
"oblique_sun_liquid_tau_2",gpu,"NVIDIA GeForce RTX 5090 (sm_120)",2,0.999,0.84999999999999998,70,0,0,1048576,5999168895323013141,256,65536,16,0.015814952794149375,0.025109614124608694,0.0001547462247859731,0.1452667057321832,0.0014214063482672135,0.14248074928957946,0.14805266217478694,0,0,9.7548999999999992,7.7475199401378632,0.74166399240493774
"oblique_view_liquid_tau_2",gpu,"NVIDIA GeForce RTX 5090 (sm_120)",2,0.999,0.84999999999999998,30,70,90,1048576,5999168895323013141,256,65536,16,0.050091483046065005,0.046559957740889835,0.00021072027873569028,0.1817118002050036,0.0007644086152041043,0.18021355931920355,0.18321004109080366,0,0,12.129300000000001,9.7409600019454956,0.705951988697052
"azimuthal_lobe_liquid_tau_2",gpu,"NVIDIA GeForce RTX 5090 (sm_120)",2,0.999,0.84999999999999998,60,60,180,1048576,5999168895323013141,256,65536,16,0.024964567393082573,0.034361510545346544,0.00018102400415419915,0.15685700304431097,0.0011374073631484803,0.15462768461253995,0.15908632147608198,0,0,12.8551,9.667616069316864,0.68876802921295166
"absorbing_stress_tau_2",gpu,"NVIDIA GeForce RTX 5090 (sm_120)",2,0.94999999999999996,0.84999999999999998,30,0,0,1048576,5999168895323013141,192,65536,16,0.012695213074213115,0.0095606235653516933,9.5486758993612616e-05,0.046053138805651352,0.00034638764551080104,0.045374219020450184,0.04673205859085252,0,0,9.7866999999999997,7.6743040084838867,0.58998399972915649
