case_id,palette,base_luminance,sun_elevation_deg,slope_toward_sun_deg,local_mu,illumination_factor,albedo_r,albedo_g,albedo_b,albedo_y,input_r,input_g,input_b,input_y,identity_r,identity_g,identity_b,identity_y,sza_applied_gain,sza_r,sza_g,sza_b,sza_y,toe_applied_gain,toe_r,toe_g,toe_b,toe_y,combined_sza_gain,combined_toe_gain,combined_effective_gain,combined_r,combined_g,combined_b,combined_y,max_chroma_error
0,forest,0,-5,-20,0,0.18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0
1,forest,0,-5,0,0,0.18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0
2,forest,0,-5,20,0,0.18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0
3,forest,0,0,-20,0,0.18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0
4,forest,0,0,0,0,0.18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0
5,forest,0,0,20,0,0.18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0
6,forest,0,10,-20,0,0.18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0
7,forest,0,10,0,0.173648177667,0.322391505687,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0
8,forest,0,10,20,0.5,0.59,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0
9,forest,0,20,-20,0,0.18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0
10,forest,0,20,0,0.342020143326,0.460456517527,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0
11,forest,0,20,20,0.642787609687,0.707085839943,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0
12,forest,0,25,-20,0.0871557427477,0.251467709053,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,0,0,0,1,0,0,0,0,1.3,1,1.3,0,0,0,0,0
13,forest,0,25,0,0.422618261741,0.526546974627,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,0,0,0,1,0,0,0,0,1.3,1,1.3,0,0,0,0,0
14,forest,0,25,20,0.707106781187,0.759827560573,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,0,0,0,1,0,0,0,0,1.3,1,1.3,0,0,0,0,0
15,forest,0,30,-20,0.173648177667,0.322391505687,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0,0,0,0,1,0,0,0,0,1.6,1,1.6,0,0,0,0,0
16,forest,0,30,0,0.5,0.59,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0,0,0,0,1,0,0,0,0,1.6,1,1.6,0,0,0,0,0
17,forest,0,30,20,0.766044443119,0.808156443358,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0,0,0,0,1,0,0,0,0,1.6,1,1.6,0,0,0,0,0
18,forest,0,33,-20,0.224951054344,0.364459864562,0,0,0,0,0,0,0,0,0,0,0,0,1.59009058864,0,0,0,0,1,0,0,0,0,1.59009058864,1,1.59009058864,0,0,0,0,0
19,forest,0,33,0,0.544639035015,0.626604008712,0,0,0,0,0,0,0,0,0,0,0,0,1.59009058864,0,0,0,0,1,0,0,0,0,1.59009058864,1,1.59009058864,0,0,0,0,0
20,forest,0,33,20,0.798635510047,0.834881118239,0,0,0,0,0,0,0,0,0,0,0,0,1.59009058864,0,0,0,0,1,0,0,0,0,1.59009058864,1,1.59009058864,0,0,0,0,0
21,forest,0,40,-20,0.342020143326,0.460456517527,0,0,0,0,0,0,0,0,0,0,0,0,1.34729635533,0,0,0,0,1,0,0,0,0,1.34729635533,1,1.34729635533,0,0,0,0,0
22,forest,0,40,0,0.642787609687,0.707085839943,0,0,0,0,0,0,0,0,0,0,0,0,1.34729635533,0,0,0,0,1,0,0,0,0,1.34729635533,1,1.34729635533,0,0,0,0,0
23,forest,0,40,20,0.866025403784,0.890140831103,0,0,0,0,0,0,0,0,0,0,0,0,1.34729635533,0,0,0,0,1,0,0,0,0,1.34729635533,1,1.34729635533,0,0,0,0,0
24,forest,0,50,-20,0.5,0.59,0,0,0,0,0,0,0,0,0,0,0,0,1.13051587485,0,0,0,0,1,0,0,0,0,1.13051587485,1,1.13051587485,0,0,0,0,0
25,forest,0,50,0,0.766044443119,0.808156443358,0,0,0,0,0,0,0,0,0,0,0,0,1.13051587485,0,0,0,0,1,0,0,0,0,1.13051587485,1,1.13051587485,0,0,0,0,0
26,forest,0,50,20,0.939692620786,0.950547949044,0,0,0,0,0,0,0,0,0,0,0,0,1.13051587485,0,0,0,0,1,0,0,0,0,1.13051587485,1,1.13051587485,0,0,0,0,0
27,forest,0,59.999,-20,0.642774239591,0.707074876465,0,0,0,0,0,0,0,0,0,0,0,0,1.00001007692,0,0,0,0,1,0,0,0,0,1.00001007692,1,1.00001007692,0,0,0,0,0
28,forest,0,59.999,0,0.866016677006,0.890133675145,0,0,0,0,0,0,0,0,0,0,0,0,1.00001007692,0,0,0,0,1,0,0,0,0,1.00001007692,1,1.00001007692,0,0,0,0,0
