Visible scores are gray RGB luminance diagnostics, not like-for-like ABI C01/C02/C03 reflectance validation. vis uses intent=display; vis_sensor_fast_gray uses unscaled model extinction and neutral display shaping. Both raw RGB dumps precede the final PNG exposure/tonemap. The legacy display diagnostic clips reflectance to [0,1]; sensor-fast-gray scores unclipped simulation and observation, retaining glint above one. IR uses the official GOES-R ABI band-13 FM4 SRF. Both-cloudy isolates collocated cloud columns, but does not remove cloud-structure forecast error.
hour  metric                                           baseline    candidate          B-A
12Z   ir.bias                                           +6.3015      +6.3015      +0.0000
12Z   ir.both_cloudy_bias                                   n/a      +7.5966          n/a
12Z   ir.both_cloudy_corr                                   n/a      +0.0663          n/a
12Z   ir.both_cloudy_count                                  n/a  +77990.0000          n/a
12Z   ir.both_cloudy_fraction                               n/a      +0.4330          n/a
12Z   ir.both_cloudy_mae                                    n/a     +19.0806          n/a
12Z   ir.clear_bias                                     -2.9850      -2.9850      +0.0000
12Z   ir.cloudy_bias                                   +11.2127     +11.2127      +0.0000
12Z   ir.cold235_obs                                    +0.0490      +0.0490      +0.0000
12Z   ir.cold235_sim                                    +0.0271      +0.0271      +0.0000
12Z   ir.coldest_obs                                  +199.8351    +199.8351      +0.0000
12Z   ir.coldest_sim                                  +209.5754    +209.5754      +0.0000
12Z   ir.corr                                           +0.1802      +0.1802      +0.0000
12Z   ir.fss27km                                        +0.1264      +0.1264      +0.0000
12Z   ir.fss81km                                        +0.1335      +0.1335      +0.0000
12Z   ir.mae                                           +14.3907     +14.3907      +0.0000
12Z   ir.observed_only_cloudy_bias                          n/a     +18.5095          n/a
12Z   ir.observed_only_cloudy_corr                          n/a      +0.3894          n/a
12Z   ir.observed_only_cloudy_count                         n/a  +38651.0000          n/a
12Z   ir.observed_only_cloudy_fraction                      n/a      +0.2146          n/a
12Z   ir.observed_only_cloudy_mae                           n/a     +18.5129          n/a
12Z   ir.synthetic_only_cloudy_bias                         n/a      -9.2634          n/a
12Z   ir.synthetic_only_cloudy_corr                         n/a      -0.0230          n/a
12Z   ir.synthetic_only_cloudy_count                        n/a  +28492.0000          n/a
12Z   ir.synthetic_only_cloudy_fraction                     n/a      +0.1582          n/a
12Z   ir.synthetic_only_cloudy_mae                          n/a     +10.2942          n/a
